Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"387"	"SRF"	"459.2"	"Literature ChIP-seq,139;ARCHS4 Coexpression,1213;ENCODE ChIP-seq,23;Enrichr Queries,955;ReMap ChIP-seq,229;GTEx Coexpression,196"	"LAMA5,EPHA4,NRP2,EPHA7,LMO4,HSPG2,ENAH,KLF7,ZMIZ1,NOVA2,CTNNB1,ZSWIM6,MEGF8,MYH10"
"gene_set_query"	"388"	"FOXO1"	"459.2"	"Literature ChIP-seq,72;ARCHS4 Coexpression,785;Enrichr Queries,334;ReMap ChIP-seq,76;GTEx Coexpression,1029"	"CYFIP2,NRP1,NRP2,TRIO,BCL11B,PTCH1,CXCR4,PRKCA,KALRN,CELSR3,KLF7,ZEB2,ZMIZ1,NFIB,CTNNB1,LHX6,MET"
"gene_set_query"	"389"	"ZNF512B"	"459.7"	"ARCHS4 Coexpression,299;Enrichr Queries,607;GTEx Coexpression,473"	"NRP1,LAMA5,SZT2,TENM4,ZMIZ1,PLXNA1,MEGF8,MYH10,CELSR3,ARHGAP35"
"gene_set_query"	"390"	"PURB"	"461.0"	"ARCHS4 Coexpression,622;GTEx Coexpression,300"	"RELN,TRIO,ANK3,L1CAM,MDGA1,ARHGAP35"
"gene_set_query"	"391"	"SHOX2"	"461.7"	"ARCHS4 Coexpression,860;Enrichr Queries,197;GTEx Coexpression,328"	"EPHA4,LRP1,CXCR4,HSPG2,DCLK1,ROBO1,NELL2,ZEB2,RELN,NFIB,SLIT1,PLXNA1,SLIT3,NCAM1,SLIT2"
"gene_set_query"	"392"	"IRX6"	"462.0"	"ARCHS4 Coexpression,696;Enrichr Queries,158;GTEx Coexpression,532"	"EPHA4,NTRK2,BCL11B,DLX5,CXCR4,EFNB1,CDH4,RELN,NFIB,SLIT1,NCAM1,SLIT3,SLIT2,EPHB1,PLXNA4,EPHB3"
"gene_set_query"	"393"	"HOXD8"	"462.7"	"ARCHS4 Coexpression,277;Enrichr Queries,446;GTEx Coexpression,665"	"NRP1,ZEB2,NFIB,SLIT1,CXCR4,PLXNA1,SLIT3,SLIT2,LRP2,HSPG2"
"gene_set_query"	"394"	"HES3"	"463.7"	"ARCHS4 Coexpression,329;Enrichr Queries,667;GTEx Coexpression,395"	"RTN4R,NELL2,SPTBN4,LINGO1,SEMA6A,VANGL2,PTCH1,CXCR4,MYH10,CELSR3,NECTIN1"
"gene_set_query"	"395"	"PHOX2A"	"464.0"	"ARCHS4 Coexpression,160;Enrichr Queries,1047;GTEx Coexpression,185"	"CHRNB2,SEMA6A,TENM4,DLX5,UNC5C,TBR1,SLIT3,UNC5D,L1CAM,CELSR3,PLXNA4"
"gene_set_query"	"396"	"SPEN"	"465.5"	"ARCHS4 Coexpression,403;GTEx Coexpression,528"	"LAMA5,TRIO,ZMIZ1,CTNNB1,ARHGAP35"
